time,open,high,low,close,volume
202403070845,359.88,359.96,359.69,359.84,539
202403070846,359.85,359.86,359.78,359.86,975
202403070847,359.98,360.07,359.94,359.98,628
202403070848,359.99,360.11,359.98,360.04,763
202403070849,359.99,360.01,359.9,359.93,729
202403070850,360.03,360.06,359.98,360.01,1228
202403070851,359.93,360.02,359.88,359.95,1025
202403070852,359.89,360.0,359.84,359.93,948
202403070853,359.98,360.03,359.97,360.02,843
202403070854,360.16,360.21,360.14,360.15,857
202403070855,360.17,360.27,360.13,360.24,672
202403070856,360.28,360.34,360.12,360.2,463
202403070857,360.16,360.21,360.09,360.15,958
202403070858,360.07,360.17,360.06,360.1,544
202403070859,359.88,359.97,359.87,359.93,938
202403070900,359.87,359.92,359.84,359.86,891
202403070901,359.75,359.8,359.65,359.76,897
202403070902,359.69,359.73,359.66,359.69,933
202403070903,359.66,359.69,359.52,359.68,510
202403070904,359.43,359.51,359.36,359.48,724
202403070905,359.66,359.73,359.58,359.68,758
202403070906,359.52,359.6,359.38,359.53,886
202403070907,359.54,359.68,359.53,359.57,694
202403070908,359.6,359.73,359.58,359.6,595
202403070909,359.64,359.75,359.56,359.63,871
202403070910,359.79,359.9,359.72,359.85,722
202403070911,359.32,359.54,359.02,359.12,2156
202403070912,358.79,359.22,358.31,358.36,1505
202403070913,358.26,358.38,358.14,358.18,1693
202403070914,357.89,357.91,357.59,357.61,1482
202403070915,357.38,357.38,357.17,357.35,2065
202403070916,356.74,356.92,356.45,356.55,1637
202403070917,355.75,355.87,355.43,355.52,2465
202403070918,355.03,355.04,354.78,354.85,2223
202403070919,354.37,354.56,354.32,354.34,2789
202403070920,353.88,353.93,353.57,353.7,2109
202403070921,353.45,353.52,353.03,353.19,2091
202403070922,352.8,353.08,352.63,352.83,1910
202403070923,352.61,352.78,352.22,352.31,2321
202403070924,351.94,351.97,351.75,351.79,2703
202403070925,351.42,351.73,351.16,351.17,1578
202403070926,350.83,350.88,350.72,350.81,1336
202403070927,350.34,350.39,350.11,350.21,2269
202403070928,350.4,350.46,350.38,350.41,848
